,genre,enfant,transit_time,classe,WCHR,group_members,poids
1,1,0,1,0,0,[1],80
2,0,0,0,0,0,[2],70
3,1,0,0,0,0,[3],80
4,0,0,0,0,0,[4],70
5,1,0,0,0,0,"[5, 6]",80
6,1,0,0,0,0,"[5, 6]",80
7,0,0,0,0,0,[7],70
8,0,0,0,0,0,[8],70
9,1,0,1,0,0,"[9, 10]",80
10,0,0,1,0,0,"[9, 10]",70
11,1,0,0,0,0,[11],80
12,0,0,0,0,0,[12],70
13,1,0,0,0,0,"[13, 14]",80
14,0,0,0,0,0,"[13, 14]",70
15,1,0,1,0,0,[15],80
16,1,0,0,0,0,[16],80
17,1,0,0,0,0,"[17, 18]",80
18,0,0,0,0,0,"[17, 18]",70
19,1,0,0,0,0,[19],80
20,1,0,0,0,0,[20],80
21,1,0,1,0,0,"[21, 22]",80
22,0,0,1,0,0,"[21, 22]",70
23,1,0,0,0,0,[23],80
24,1,0,0,0,0,"[24, 25, 26, 27]",80
25,1,0,0,0,0,"[24, 25, 26, 27]",80
26,0,0,0,0,0,"[24, 25, 26, 27]",70
27,0,0,0,0,0,"[24, 25, 26, 27]",70
28,1,0,1,0,0,"[28, 29, 30, 31]",80
29,1,0,1,0,0,"[28, 29, 30, 31]",80
30,0,0,1,0,0,"[28, 29, 30, 31]",70
31,0,0,1,0,0,"[28, 29, 30, 31]",70
32,0,0,0,0,0,"[32, 33, 34]",70
33,0,0,0,0,0,"[32, 33, 34]",70
34,1,1,0,0,0,"[32, 33, 34]",35
35,0,0,1,0,0,[35],70
36,1,0,1,0,0,"[36, 37]",80
37,0,0,1,0,0,"[36, 37]",70
38,1,0,0,0,0,"[38, 39]",80
39,0,0,0,0,0,"[38, 39]",70
40,1,0,1,0,0,[40],80
41,1,0,0,0,0,[41],80
42,1,0,0,0,0,"[42, 43]",80
43,1,0,0,0,0,"[42, 43]",80
44,1,0,0,0,0,[44],80
45,0,0,0,0,0,[45],70
46,1,0,0,0,0,[46],80
47,1,0,0,0,0,"[47, 48]",80
48,0,0,0,0,0,"[47, 48]",70
49,1,0,0,0,0,[49],80
50,1,0,0,0,0,[50],80
51,1,0,1,0,0,"[51, 52]",80
52,0,0,1,0,0,"[51, 52]",70
53,1,0,1,0,0,"[53, 54]",80
54,0,0,1,0,0,"[53, 54]",70
55,0,0,0,0,0,[55],70
56,1,0,0,0,0,[56],80
57,1,0,0,0,0,[57],80
58,1,0,0,0,0,"[58, 59]",80
59,0,0,0,0,0,"[58, 59]",70
60,1,0,1,0,0,[60],80
61,1,0,0,0,0,[61],80
62,1,0,0,0,0,[62],80
63,1,0,0,0,0,[63],80
64,1,0,0,0,0,[64],80
65,1,0,0,0,0,"[65, 66]",80
66,0,0,0,0,0,"[65, 66]",70
67,1,0,1,0,0,[67],80
68,1,0,1,0,0,[68],80
69,0,0,1,0,0,[69],70
70,1,0,0,0,0,[70],80
71,0,0,0,0,0,[71],70
72,1,0,0,0,0,"[72, 73]",80
73,0,0,0,0,0,"[72, 73]",70
74,0,0,1,0,0,[74],70
75,0,0,1,0,0,[75],70
76,0,0,0,0,0,[76],70
77,1,0,0,0,0,"[77, 78]",80
78,0,0,0,0,0,"[77, 78]",70
79,1,0,0,0,0,"[79, 80]",80
80,0,0,0,0,0,"[79, 80]",70
81,1,0,0,0,0,"[81, 82]",80
82,0,0,0,0,0,"[81, 82]",70
83,1,0,0,0,0,[83],80
84,1,0,1,0,0,"[84, 85]",80
85,0,0,1,0,0,"[84, 85]",70
86,0,0,0,0,0,[86],70
87,1,0,0,0,0,"[87, 88]",80
88,0,0,0,0,0,"[87, 88]",70
