,genre,enfant,transit_time,classe,WCHR,group_members,poids
1,1,0,0,0,0,[1],80
2,0,0,0,0,0,[2],70
3,1,0,1,0,0,"[3, 4]",80
4,0,0,1,0,0,"[3, 4]",70
5,1,0,0,0,0,[5],80
6,0,0,0,0,0,[6],70
7,1,0,1,0,0,"[7, 8, 9]",80
8,0,0,1,0,0,"[7, 8, 9]",70
9,1,1,1,0,0,"[7, 8, 9]",35
10,1,0,0,0,0,[10],80
11,1,0,1,0,0,[11],80
12,1,0,0,0,0,[12],80
13,1,0,0,0,0,[13],80
14,0,0,0,0,0,[14],70
15,1,0,0,0,0,[15],80
16,0,0,1,0,0,[16],70
17,1,0,1,0,0,"[17, 18]",80
18,0,0,1,0,0,"[17, 18]",70
19,1,0,0,0,0,[19],80
20,0,0,0,0,0,[20],70
21,0,0,0,0,0,[21],70
22,0,0,0,0,0,[22],70
23,0,0,0,0,0,[23],70
24,0,0,0,0,0,[24],70
25,1,0,1,0,0,[25],80
26,1,0,0,0,0,[26],80
27,0,0,0,0,0,[27],70
28,1,0,1,0,0,[28],80
29,1,0,0,0,0,[29],80
30,1,0,1,0,0,"[30, 31]",80
31,1,0,1,0,0,"[30, 31]",80
32,1,0,0,0,0,"[32, 33]",80
33,0,0,0,0,0,"[32, 33]",70
34,0,0,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",70
35,0,0,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",70
36,1,1,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35
37,1,1,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35
38,1,1,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35
39,1,1,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35
40,1,1,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35
41,1,1,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35
42,1,1,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35
43,1,1,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35
44,1,1,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35
45,1,1,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35
46,1,1,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35
47,1,1,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35
48,1,1,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35
49,1,1,1,0,0,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35
50,0,0,0,0,0,[50],70
51,0,0,0,0,0,[51],70
52,1,0,0,0,0,[52],80
53,1,0,0,0,0,[53],80
54,0,0,1,0,0,[54],70
55,0,0,1,0,0,"[55, 56]",70
56,0,0,1,0,0,"[55, 56]",70
57,0,0,0,0,0,[57],70
58,1,0,1,0,0,"[58, 59]",80
59,0,0,1,0,0,"[58, 59]",70
60,1,0,0,0,0,"[60, 61]",80
61,0,0,0,0,0,"[60, 61]",70
62,1,0,1,0,0,"[62, 63]",80
63,0,0,1,0,0,"[62, 63]",70
64,1,0,0,0,0,[64],80
65,1,0,0,0,0,[65],80
66,1,0,1,0,0,"[66, 67]",80
67,1,0,1,0,0,"[66, 67]",80
68,0,0,0,0,0,[68],70
69,1,0,0,0,0,"[69, 70]",80
70,0,0,0,0,0,"[69, 70]",70
71,1,0,0,0,0,"[71, 72]",80
72,0,0,0,0,0,"[71, 72]",70
73,0,0,0,0,0,[73],70
74,1,0,0,0,0,[74],80
75,1,0,1,0,0,"[75, 76, 77]",80
76,0,0,1,0,0,"[75, 76, 77]",70
77,0,0,1,0,0,"[75, 76, 77]",70
78,0,0,0,0,0,[78],70
79,1,0,0,0,0,[79],80
80,1,0,0,0,0,[80],80
81,0,0,0,0,0,[81],70
82,1,0,0,0,0,[82],80
83,1,0,0,0,0,[83],80
84,1,0,0,0,0,[84],80
85,1,0,1,0,0,"[85, 86]",80
86,0,0,1,0,0,"[85, 86]",70
87,0,0,0,0,0,[87],70
88,0,0,0,0,0,[88],70
89,1,0,0,0,0,[89],80
90,1,0,0,0,0,[90],80
91,0,0,0,0,0,[91],70
92,1,0,0,0,0,[92],80
93,0,0,1,0,0,"[93, 94]",70
94,0,0,1,0,0,"[93, 94]",70
95,1,0,1,0,0,"[95, 96]",80
96,0,0,1,0,0,"[95, 96]",70
97,0,0,0,0,0,[97],70
98,1,0,1,0,0,"[98, 99]",80
99,1,0,1,0,0,"[98, 99]",80
100,1,0,1,0,0,"[100, 101]",80
101,0,0,1,0,0,"[100, 101]",70
102,1,0,1,0,0,"[102, 103]",80
103,0,0,1,0,0,"[102, 103]",70
104,0,0,0,0,0,[104],70
105,1,0,1,0,0,[105],80
106,1,0,0,0,0,[106],80
107,0,0,0,0,0,[107],70
108,1,0,1,0,0,"[108, 109]",80
109,0,0,1,0,0,"[108, 109]",70
110,0,0,0,0,0,[110],70
111,0,0,0,0,0,[111],70
112,0,0,0,0,0,[112],70
113,1,0,1,0,0,"[113, 114]",80
114,0,0,1,0,0,"[113, 114]",70
115,0,0,1,0,0,[115],70
116,1,0,0,0,0,[116],80
117,0,0,1,0,0,"[117, 118]",70
118,0,0,1,0,0,"[117, 118]",70
119,1,0,1,0,0,"[119, 120]",80
120,1,0,1,0,0,"[119, 120]",80
121,1,0,0,0,0,[121],80
122,1,0,1,0,0,[122],80
123,0,0,0,0,0,[123],70
124,1,0,0,0,0,[124],80
125,1,0,1,0,0,"[125, 126]",80
126,0,0,1,0,0,"[125, 126]",70
127,0,0,0,0,0,[127],70
128,1,0,0,0,0,[128],80
129,0,0,0,0,0,[129],70
130,1,0,0,0,0,[130],80
131,0,0,0,0,0,[131],70
132,1,0,1,0,0,"[132, 133]",80
133,1,0,1,0,0,"[132, 133]",80
134,1,0,0,0,0,[134],80
135,0,0,0,0,0,[135],70
136,1,0,1,0,0,[136],80
137,0,0,1,0,0,[137],70
138,1,0,0,0,0,[138],80
139,1,0,0,0,0,[139],80
140,0,0,1,0,0,[140],70
141,1,0,0,0,0,[141],80
142,1,0,0,0,0,[142],80
143,1,0,0,0,0,[143],80
144,0,0,0,0,0,[144],70
145,0,0,0,0,0,[145],70
146,1,0,0,0,0,[146],80
147,1,0,1,0,0,[147],80
148,0,0,0,0,0,[148],70
149,0,0,1,0,0,"[149, 150]",70
150,0,0,1,0,0,"[149, 150]",70
151,0,0,0,0,0,[151],70
152,1,0,1,0,0,"[152, 153, 154, 155]",80
153,0,0,1,0,0,"[152, 153, 154, 155]",70
154,1,1,1,0,0,"[152, 153, 154, 155]",35
155,1,1,1,0,0,"[152, 153, 154, 155]",35
156,0,0,1,0,0,[156],70
157,1,0,0,0,0,[157],80
158,1,0,0,0,0,"[158, 159]",80
159,1,0,0,0,0,"[158, 159]",80
160,1,0,0,0,0,[160],80
161,1,0,1,0,0,[161],80
162,0,0,1,0,0,"[162, 163, 164]",70
163,0,0,1,0,0,"[162, 163, 164]",70
164,0,0,1,0,0,"[162, 163, 164]",70
165,0,0,0,0,0,[165],70
166,0,0,1,0,0,"[166, 167, 168, 169]",70
167,0,0,1,0,0,"[166, 167, 168, 169]",70
168,0,0,1,0,0,"[166, 167, 168, 169]",70
169,0,0,1,0,0,"[166, 167, 168, 169]",70
170,0,0,0,0,0,[170],70
171,1,0,0,0,0,[171],80
172,1,0,0,0,0,[172],80
173,1,0,1,0,0,"[173, 174]",80
174,0,0,1,0,0,"[173, 174]",70
