,genre,enfant,transit_time,classe,WCHR,group_members,poids
1,1,0,1,0,0,[1],80
2,0,0,1,0,0,[2],70
3,0,0,0,0,0,[3],70
4,1,0,0,0,0,[4],80
5,1,0,0,0,0,[5],80
6,0,0,0,0,0,[6],70
7,1,0,0,0,0,"[7, 8]",80
8,0,0,0,0,0,"[7, 8]",70
9,1,0,0,0,0,[9],80
10,1,0,0,0,0,[10],80
11,0,0,0,0,0,[11],70
12,1,0,0,0,0,[12],80
13,1,0,0,0,0,[13],80
14,0,0,1,0,0,[14],70
15,1,0,1,0,0,"[15, 16]",80
16,0,0,1,0,0,"[15, 16]",70
17,1,0,0,0,0,"[17, 18]",80
18,0,0,0,0,0,"[17, 18]",70
19,1,0,0,0,0,[19],80
20,1,0,0,0,0,[20],80
21,1,0,0,0,0,"[21, 22, 23, 24]",80
22,1,0,0,0,0,"[21, 22, 23, 24]",80
23,0,0,0,0,0,"[21, 22, 23, 24]",70
24,0,0,0,0,0,"[21, 22, 23, 24]",70
25,1,0,0,0,0,[25],80
26,1,0,0,0,0,"[26, 27]",80
27,0,0,0,0,0,"[26, 27]",70
28,1,0,0,0,0,[28],80
29,1,0,0,0,0,[29],80
30,0,0,1,0,0,[30],70
31,0,0,1,0,0,[31],70
32,1,0,0,0,0,[32],80
33,0,0,0,0,0,[33],70
34,0,0,0,0,0,[34],70
35,1,0,0,0,0,[35],80
36,1,0,0,0,0,"[36, 37]",80
37,0,0,0,0,0,"[36, 37]",70
38,0,0,0,0,0,[38],70
39,0,0,1,0,0,[39],70
40,1,0,1,0,0,[40],80
41,0,0,1,0,0,[41],70
42,1,0,0,0,0,[42],80
43,1,0,1,0,0,"[43, 44]",80
44,0,0,1,0,0,"[43, 44]",70
45,1,0,1,0,0,"[45, 46]",80
46,0,0,1,0,0,"[45, 46]",70
47,1,0,0,0,0,[47],80
48,1,0,0,0,0,[48],80
49,1,0,0,0,0,"[49, 50]",80
50,0,0,0,0,0,"[49, 50]",70
51,1,0,0,0,0,[51],80
52,0,0,0,0,0,[52],70
53,1,0,0,0,0,[53],80
54,1,0,0,0,0,[54],80
55,1,0,1,0,0,"[55, 56]",80
56,0,0,1,0,0,"[55, 56]",70
57,0,0,0,0,0,[57],70
58,0,0,0,0,0,[58],70
59,1,0,0,0,0,"[59, 60, 61]",80
60,1,0,0,0,0,"[59, 60, 61]",80
61,0,0,0,0,0,"[59, 60, 61]",70
62,1,0,0,0,0,[62],80
63,0,0,0,0,0,[63],70
64,1,0,0,0,0,[64],80
65,1,0,0,0,0,[65],80
66,1,0,0,0,0,[66],80
67,1,0,0,0,0,"[67, 68]",80
68,0,0,0,0,0,"[67, 68]",70
69,1,0,0,0,0,[69],80
70,1,0,1,0,0,"[70, 71]",80
71,0,0,1,0,0,"[70, 71]",70
72,1,0,1,0,0,[72],80
73,1,0,1,0,0,[73],80
74,1,0,0,0,0,[74],80
75,0,0,0,0,0,[75],70
76,0,0,0,0,0,[76],70
77,0,0,0,0,0,[77],70
78,1,0,0,0,0,[78],80
79,1,0,1,0,0,"[79, 80]",80
80,0,0,1,0,0,"[79, 80]",70
81,0,0,0,0,0,[81],70
82,0,0,0,0,0,[82],70
83,0,0,0,0,0,[83],70
84,0,0,0,0,0,[84],70
85,1,0,0,0,0,[85],80
86,0,0,0,0,0,[86],70
87,0,0,0,0,0,[87],70
88,0,0,1,0,0,[88],70
89,1,0,1,0,0,[89],80
90,0,0,1,0,0,[90],70
91,0,0,0,0,0,[91],70
92,1,0,0,0,0,[92],80
93,1,0,0,0,0,[93],80
94,0,0,0,0,0,[94],70
95,0,0,1,0,0,[95],70
96,1,0,0,0,0,[96],80
97,1,0,1,0,0,[97],80
98,1,0,0,0,0,[98],80
99,1,0,0,0,0,"[99, 100]",80
100,0,0,0,0,0,"[99, 100]",70
101,1,0,0,0,0,"[101, 102]",80
102,0,0,0,0,0,"[101, 102]",70
103,1,0,0,0,0,[103],80
104,1,0,0,0,0,[104],80
105,0,0,0,0,0,[105],70
106,1,0,1,0,0,"[106, 107]",80
107,0,0,1,0,0,"[106, 107]",70
108,0,0,0,0,0,[108],70
109,1,0,0,0,0,[109],80
110,0,0,0,0,0,[110],70
111,1,0,0,0,0,[111],80
112,0,0,1,0,0,[112],70
113,1,0,0,0,0,"[113, 114]",80
114,1,0,0,0,0,"[113, 114]",80
115,0,0,0,0,0,[115],70
116,0,0,0,0,0,[116],70
