,genre,enfant,transit_time,classe,WCHR,group_members,poids
1,0,0,1,1,0,[1],70
2,1,1,0,0,0,[2],35
3,0,0,1,0,0,"[3, 4]",70
4,1,0,1,0,1,"[3, 4]",95
5,1,0,0,1,0,"[5, 6]",80
6,0,0,0,1,0,"[5, 6]",70
7,0,0,0,0,0,[7],70
8,0,0,0,0,0,"[8, 9]",70
9,0,0,0,0,0,"[8, 9]",70
10,1,0,0,0,1,[10],95
11,1,0,0,0,0,"[11, 12, 13, 14, 15]",80
12,1,0,0,0,0,"[11, 12, 13, 14, 15]",80
13,1,0,0,0,0,"[11, 12, 13, 14, 15]",80
14,1,0,0,0,0,"[11, 12, 13, 14, 15]",80
15,0,0,0,0,0,"[11, 12, 13, 14, 15]",70
16,0,0,0,0,0,"[16, 17, 18, 19]",70
17,0,0,0,0,0,"[16, 17, 18, 19]",70
18,0,0,0,0,0,"[16, 17, 18, 19]",70
19,0,0,0,0,0,"[16, 17, 18, 19]",70
20,0,0,0,0,0,[20],70
21,1,0,0,0,0,"[21, 22]",80
22,0,0,0,0,0,"[21, 22]",70
23,0,0,0,0,0,"[23, 24, 25, 26, 27]",70
24,0,0,0,0,0,"[23, 24, 25, 26, 27]",70
25,0,0,0,0,0,"[23, 24, 25, 26, 27]",70
26,0,0,0,0,0,"[23, 24, 25, 26, 27]",70
27,0,0,0,0,0,"[23, 24, 25, 26, 27]",70
28,0,0,1,0,0,"[28, 29]",70
29,0,0,1,0,0,"[28, 29]",70
30,1,0,1,0,0,"[30, 31, 32, 33, 34]",80
31,0,0,1,0,0,"[30, 31, 32, 33, 34]",70
32,0,0,1,0,0,"[30, 31, 32, 33, 34]",70
33,0,0,1,0,0,"[30, 31, 32, 33, 34]",70
34,0,0,1,0,0,"[30, 31, 32, 33, 34]",70
35,0,0,0,0,0,[35],70
36,1,0,1,0,1,[36],95
37,1,0,0,1,0,"[37, 38]",80
38,0,0,0,1,0,"[37, 38]",70
39,0,0,1,0,0,"[39, 40, 41, 42, 43]",70
40,0,0,1,0,0,"[39, 40, 41, 42, 43]",70
41,0,0,1,0,0,"[39, 40, 41, 42, 43]",70
42,0,0,1,0,0,"[39, 40, 41, 42, 43]",70
43,0,0,1,0,0,"[39, 40, 41, 42, 43]",70
44,0,0,0,0,0,[44],70
45,0,0,1,0,0,"[45, 46]",70
46,0,0,1,0,0,"[45, 46]",70
47,1,0,0,0,1,[47],95
48,0,0,0,0,0,[48],70
49,1,0,0,0,0,"[49, 50, 51]",80
50,0,0,0,0,0,"[49, 50, 51]",70
51,1,1,0,0,0,"[49, 50, 51]",35
52,0,0,1,0,0,"[52, 53, 54, 55, 56, 57]",70
53,0,0,1,0,0,"[52, 53, 54, 55, 56, 57]",70
54,0,0,1,0,0,"[52, 53, 54, 55, 56, 57]",70
55,0,0,1,0,0,"[52, 53, 54, 55, 56, 57]",70
56,0,0,1,0,0,"[52, 53, 54, 55, 56, 57]",70
57,0,0,1,0,0,"[52, 53, 54, 55, 56, 57]",70
58,0,0,0,0,0,[58],70
59,1,1,1,0,0,[59],35
60,1,0,0,0,0,"[60, 61]",80
61,1,1,0,0,0,"[60, 61]",35
62,1,1,0,0,0,[62],35
63,1,1,0,0,0,[63],35
64,1,0,0,1,0,[64],80
65,0,0,0,1,0,[65],70
66,0,0,0,1,0,[66],70
67,1,1,1,0,0,[67],35
68,1,1,0,0,0,[68],35
69,0,0,0,1,0,[69],70
70,1,0,1,1,0,"[70, 71]",80
71,0,0,1,1,0,"[70, 71]",70
72,0,0,0,1,0,[72],70
73,1,0,0,0,0,"[73, 74, 75]",80
74,0,0,0,0,0,"[73, 74, 75]",70
75,0,0,0,0,0,"[73, 74, 75]",70
76,1,0,0,0,0,"[76, 77]",80
77,0,0,0,0,0,"[76, 77]",70
78,1,0,0,0,0,[78],80
79,1,0,0,0,0,"[79, 80]",80
80,1,0,0,0,0,"[79, 80]",80
81,1,0,1,0,0,"[81, 82]",80
82,0,0,1,0,0,"[81, 82]",70
83,1,0,1,0,0,[83],80
84,1,0,0,0,0,[84],80
85,1,0,0,0,0,[85],80
86,0,0,0,0,0,"[86, 87, 88, 89, 90, 91, 92]",70
87,0,0,0,0,0,"[86, 87, 88, 89, 90, 91, 92]",70
88,0,0,0,0,0,"[86, 87, 88, 89, 90, 91, 92]",70
89,0,0,0,0,0,"[86, 87, 88, 89, 90, 91, 92]",70
90,0,0,0,0,0,"[86, 87, 88, 89, 90, 91, 92]",70
91,0,0,0,0,0,"[86, 87, 88, 89, 90, 91, 92]",70
92,0,0,0,0,0,"[86, 87, 88, 89, 90, 91, 92]",70
93,0,0,0,0,0,[93],70
94,1,0,0,0,0,[94],80
95,1,0,0,0,0,[95],80
96,1,0,0,0,0,[96],80
97,1,0,0,0,0,"[97, 98]",80
98,1,0,0,0,1,"[97, 98]",95
99,0,0,0,1,0,[99],70
100,0,0,0,0,0,[100],70
101,1,0,0,1,0,[101],80
102,1,0,0,1,0,[102],80
103,1,0,0,1,0,[103],80
104,1,0,0,1,0,"[104, 105, 106, 107]",80
105,0,0,0,1,0,"[104, 105, 106, 107]",70
106,1,1,0,1,0,"[104, 105, 106, 107]",35
107,1,1,0,1,0,"[104, 105, 106, 107]",35
108,1,0,0,0,0,[108],80
109,1,0,0,0,0,[109],80
110,1,0,0,0,0,"[110, 111]",80
111,1,0,0,0,0,"[110, 111]",80
112,1,0,0,0,0,[112],80
113,0,0,0,0,0,[113],70
114,1,0,1,0,0,[114],80
115,1,0,1,0,0,[115],80
116,1,0,0,0,0,"[116, 117, 118, 119]",80
117,1,0,0,0,0,"[116, 117, 118, 119]",80
118,0,0,0,0,0,"[116, 117, 118, 119]",70
119,0,0,0,0,0,"[116, 117, 118, 119]",70
120,0,0,0,0,0,[120],70
121,1,0,0,0,0,"[121, 122]",80
122,1,1,0,0,0,"[121, 122]",35
123,1,0,0,1,0,[123],80
124,1,0,0,1,0,[124],80
125,1,0,0,0,0,[125],80
126,0,0,0,1,0,[126],70
127,1,0,1,0,0,[127],80
128,1,0,1,0,0,"[128, 129]",80
129,0,0,1,0,0,"[128, 129]",70
130,1,0,0,0,0,"[130, 131, 132]",80
131,1,1,0,0,0,"[130, 131, 132]",35
132,1,1,0,0,0,"[130, 131, 132]",35
133,1,0,0,0,0,"[133, 134, 135]",80
134,1,1,0,0,0,"[133, 134, 135]",35
135,1,1,0,0,0,"[133, 134, 135]",35
136,1,0,0,1,0,"[136, 137]",80
137,0,0,0,1,0,"[136, 137]",70
138,1,0,0,0,0,[138],80
139,1,0,0,0,0,[139],80
140,1,0,0,0,0,"[140, 141]",80
141,1,0,0,0,0,"[140, 141]",80
142,1,0,1,0,0,[142],80
143,1,0,1,0,0,"[143, 144]",80
144,0,0,1,0,0,"[143, 144]",70
145,1,0,0,0,0,"[145, 146, 147]",80
146,1,0,0,0,0,"[145, 146, 147]",80
147,1,1,0,0,0,"[145, 146, 147]",35
148,1,0,0,0,0,"[148, 149, 150]",80
149,1,0,0,0,0,"[148, 149, 150]",80
150,1,1,0,0,0,"[148, 149, 150]",35
151,1,0,0,0,0,"[151, 152]",80
152,1,0,0,0,0,"[151, 152]",80
153,1,0,0,0,0,"[153, 154]",80
154,1,0,0,0,0,"[153, 154]",80
155,0,0,0,0,0,"[155, 156]",70
156,1,0,0,0,1,"[155, 156]",95
157,0,0,0,0,0,[157],70
158,1,0,0,0,0,"[158, 159, 160]",80
159,1,1,0,0,0,"[158, 159, 160]",35
160,1,1,0,0,0,"[158, 159, 160]",35
